Track_photon_ID	Energy_MeV	Wavelength_nm	Time_ns
40345	6.86119	180.704	18.8917
40344	6.85596	180.842	18.0966
40343	7.39668	167.621	18.1853
40342	7.01771	176.673	22.6501
40341	7.05065	175.848	21.8351
40340	6.88618	180.048	22.6858
40339	6.92738	178.977	22.034
40338	6.81172	182.016	18.0945
40337	6.86095	180.71	18.9375
40336	6.94879	178.426	24.5589
40335	7.35404	168.593	19.1221
40334	6.96722	177.954	18.5327
40333	6.90533	179.549	23.5416
40332	7.34919	168.705	22.8064
40331	7.09785	174.678	19.8663
40330	7.33919	168.934	20.2399
40329	7.03858	176.15	23.4136
40328	6.96449	178.023	18.1754
40327	7.33914	168.936	19.9921
40326	7.33411	169.051	21.8334
40325	7.39797	167.592	19.3396
40324	6.85723	180.808	19.3581
40323	7.37329	168.153	19.6752
40322	6.75177	183.632	18.7514
40321	7.00399	177.019	21.762
40320	6.86037	180.725	22.1429
40319	7.03134	176.331	20.6842
40318	7.39972	167.553	24.0397
40317	7.29087	170.054	19.7998
40649	7.38463	167.895	21.7344
40648	7.31944	169.39	20.6666
40647	6.91664	179.255	18.4002
40646	6.94435	178.54	22.1496
40645	6.98821	177.419	19.6773
40644	7.03647	176.202	21.2324
40643	6.99858	177.156	20.5255
40642	7.36243	168.401	18.7092
40641	7.30948	169.621	21.0055
40640	6.88109	180.181	18.9375
40639	7.07322	175.287	18.8265
40638	6.92691	178.989	22.1794
40637	7.34325	168.841	21.2796
40636	6.9498	178.4	19.4714
40635	7.39487	167.662	18.365
40634	6.96142	178.102	20.9558
40633	7.03922	176.133	23.9002
40632	6.95438	178.282	19.5459
40631	6.9339	178.809	22.4906
40630	6.9824	177.567	21.0025
40629	6.99893	177.147	23.3941
40628	6.93861	178.687	17.9232
40627	6.998	177.171	20.2818
40626	6.96496	178.011	20.6678
40625	7.31298	169.54	20.6637
40624	7.06704	175.44	23.4572
40623	6.90567	179.54	24.1923
40622	6.93578	178.76	22.3598
40621	6.99288	177.301	17.8073
40620	7.38033	167.993	21.1387
40619	7.30475	169.731	22.582
40618	7.00005	177.119	19.2002
40617	7.03098	176.34	22.6775
40616	6.97325	177.8	19.6937
40615	7.06527	175.484	23.8228
40614	6.96211	178.084	26.0045
40613	6.91564	179.281	22.0289
40612	7.0573	175.682	21.3345
40611	7.07671	175.2	21.624
40610	6.98568	177.483	22.2007
40609	7.07751	175.181	18.2106
40608	7.02387	176.518	18.0381
40607	7.01954	176.627	19.0461
40606	6.95416	178.288	22.6376
40605	6.9669	177.962	23.2821
40604	6.88438	180.095	19.8585
40603	6.83925	181.283	20.8494
40602	6.93642	178.744	20.5647
40601	7.29981	169.846	19.375
40600	7.36146	168.423	19.622
40599	7.05829	175.658	19.5408
40598	6.87755	180.274	24.0948
40597	7.35378	168.599	22.8176
40596	6.91337	179.34	19.256
40595	6.7303	184.218	17.76
40594	6.98169	177.585	21.002
40593	7.09222	174.817	25.1852
40592	6.99433	177.264	22.6865
40591	7.04414	176.01	18.8804
40590	7.01303	176.791	18.0246
40589	7.08118	175.09	18.2855
40588	7.32622	169.234	18.3879
40587	6.95973	178.145	22.4909
40586	7.06347	175.529	21.0311
40585	7.07127	175.335	18.9691
40584	7.31036	169.601	21.1269
40583	7.23221	171.433	20.0743
40582	6.99373	177.279	22.8818
40581	6.94539	178.513	20.1124
40580	7.02029	176.608	19.7275
40579	7.03356	176.275	21.4588
40578	7.02097	176.591	19.2375
40577	6.95842	178.179	23.5927
40576	6.90479	179.562	22.4448
40575	7.31988	169.38	18.5592
40574	7.26879	170.571	18.7546
40573	6.94327	178.567	21.4505
40572	6.95246	178.331	19.7368
40571	7.06135	175.581	18.1888
40570	7.3418	168.874	21.2254
40569	7.06273	175.547	19.879
40568	6.90423	179.577	22.605
40567	7.09292	174.8	21.446
40566	7.07797	175.169	20.1571
40565	7.36778	168.279	18.4133
40564	6.98775	177.431	18.2672
40563	6.90122	179.656	23.0217
40562	6.91571	179.279	18.0633
40561	7.01049	176.855	17.8319
40560	6.97724	177.698	23.7669
40559	6.99396	177.273	18.0451
40558	7.2006	172.186	20.0549
40557	6.86604	180.576	21.2465
40556	7.25934	170.793	24.5274
40555	7.35677	168.531	26.5743
40554	6.80662	182.152	20.5071
40553	7.30525	169.719	20.9712
40552	6.90116	179.657	18.1531
40551	6.9964	177.211	22.1463
40550	6.90858	179.464	21.16
40549	6.98856	177.41	17.9337
40548	6.92774	178.968	20.7542
40547	7.07648	175.206	25.0685
40546	6.97773	177.685	23.5631
40545	6.81563	181.912	19.9699
40544	7.09187	174.826	22.6639
40543	6.99596	177.223	20.9487
40542	7.35877	168.485	18.1375
40541	7.05493	175.741	19.6689
40540	6.97233	177.823	18.0359
40539	6.93747	178.717	20.2374
40538	6.91201	179.375	25.14
40537	7.04664	175.948	20.7259
40536	7.15733	173.227	19.5952
40535	6.82082	181.773	23.7182
40534	7.02266	176.549	18.8617
40533	6.92441	179.054	18.4739
40532	7.39249	167.716	20.7831
40531	7.02801	176.414	18.953
40530	6.96514	178.007	17.873
40529	6.91449	179.311	20.0754
40528	6.87062	180.456	24.1762
40527	7.33078	169.128	24.0387
40526	7.06827	175.409	19.5044
40525	6.99672	177.203	23.0556
40524	7.10625	174.472	18.5909
40523	6.95746	178.203	19.5818
40522	6.91816	179.215	17.884
40521	6.93479	178.786	19.4121
40520	6.89441	179.833	20.6573
40519	6.8114	182.025	20.4872
40518	6.97436	177.771	20.3743
40517	7.08671	174.953	23.6032
40516	7.31057	169.596	18.6943
40515	6.86628	180.57	18.1669
40514	7.03182	176.319	21.5029
40513	6.98307	177.55	22.1685
40512	6.90652	179.517	17.8104
40511	7.36098	168.434	23.5916
40510	6.95161	178.353	22.9758
40509	6.96263	178.071	23.103
40508	6.94627	178.49	25.4825
40507	6.96476	178.016	21.7613
40506	7.36728	168.29	22.845
40505	6.86889	180.501	24.9896
40504	7.33214	169.097	17.8626
40503	6.83575	181.376	18.1966
40502	7.05285	175.793	23.5335
40910	7.22094	171.701	20.7818
40909	7.32352	169.296	19.1672
40908	6.90587	179.535	20.2766
40907	7.34606	168.776	23.6382
40906	7.00086	177.099	21.1015
40905	7.03118	176.335	22.0332
40904	6.9316	178.868	20.4961
40903	6.90113	179.658	20.8918
40902	7.30566	169.71	18.6991
40901	6.98784	177.429	18.9356
40900	6.96884	177.912	21.7729
40899	6.91106	179.4	18.4292
40898	6.7212	184.467	22.8765
40897	7.08747	174.934	22.9053
40896	6.97763	177.688	19.851
40895	6.8735	180.38	18.3885
40894	6.8322	181.47	18.5167
40893	7.28371	170.221	19.3911
40892	7.0601	175.613	21.534
40891	7.28242	170.251	20.9511
40890	6.92157	179.127	23.7447
40889	6.89947	179.701	20.6049
40888	7.09913	174.647	22.5078
40887	6.9122	179.37	20.4823
40886	6.63948	186.738	21.6873
40885	7.00652	176.955	23.5543
40884	6.8767	180.296	19.7627
40883	7.06051	175.602	22.199
40882	7.29917	169.861	17.8665
40881	7.24142	171.215	19.8528
40880	6.9999	177.123	31.7508
40879	6.82355	181.7	20.5233
40878	6.87308	180.391	21.1451
40877	6.8305	181.515	18.2499
40876	6.99196	177.324	19.1469
40875	7.00201	177.069	22.9562
40874	6.98862	177.409	20.7397
40873	6.94117	178.622	18.3901
40872	6.90294	179.611	21.5911
40871	6.91718	179.241	19.6803
40870	7.21873	171.753	18.761
40869	6.92797	178.962	19.9716
40868	6.92481	179.044	20.8858
40867	7.08307	175.043	20.306
40866	7.30679	169.684	25.4571
40865	7.31251	169.551	20.416
40864	7.36434	168.357	20.8976
40863	6.81389	181.958	21.7734
40862	7.29503	169.957	21.1161
40861	7.01905	176.639	19.8831
40860	7.05712	175.687	18.7412
40859	7.33749	168.974	21.3701
40858	7.00566	176.977	18.4291
40857	6.81883	181.826	22.467
40856	7.06764	175.425	23.3233
40855	7.08329	175.038	21.1119
40854	6.96007	178.136	21.9875
40853	6.9559	178.243	20.9099
40852	7.30691	169.681	18.0847
40851	7.3568	168.53	19.8389
40850	7.33863	168.947	19.5749
40849	7.04714	175.936	20.6084
40848	6.84998	180.999	23.156
40847	7.39738	167.606	19.6446
40846	6.97344	177.795	21.3858
40845	7.39806	167.59	22.8
40844	6.81945	181.81	18.8176
40843	6.68546	185.453	20.742
40842	7.09324	174.792	18.2913
40841	7.05304	175.788	22.6324
40840	6.94697	178.472	22.4241
40839	6.86157	180.694	23.0704
40838	6.93924	178.671	21.8005
40837	6.94673	178.478	22.0055
40836	6.91081	179.406	19.5994
40835	6.99523	177.241	17.7936
40834	6.93983	178.656	18.6928
40833	7.34125	168.887	18.285
40832	7.07329	175.285	25.7986
40831	6.97676	177.71	18.4864
40830	6.94051	178.638	18.0843
40829	6.92833	178.953	18.8599
40828	7.305	169.725	19.5684
40827	6.97175	177.838	17.986
40826	6.82201	181.742	19.7024
